center_BP,n_sites,richness_med,shannon_med,evenness_med,openness_med
0,172,10.25,1.7512994058897287,0.7555012685921828,0.09659981822383192
200,178,10.5,1.7467342904634626,0.7544070815928636,0.09533612937951103
400,178,10.5,1.7485454332601251,0.7530785382326546,0.09069873648975788
600,179,10.0,1.758955860038034,0.7523533449532811,0.08692291277116776
800,181,10.0,1.7473357948585342,0.7531381914778061,0.08745247148288972
1000,181,10.0,1.7321640671700531,0.7538668219996382,0.08267955020554316
1200,180,10.0,1.7079710300908084,0.756052883868943,0.07434407014562407
1400,180,10.0,1.7206480191422977,0.7479062476292739,0.0691231920732054
1600,176,10.0,1.714554864352583,0.7475590070274966,0.06057801299876863
1800,173,10.0,1.7544685158324325,0.7512244459660433,0.05629623001670246
2000,173,10.0,1.7599438987641256,0.7519449671341326,0.05006382827210218
2200,173,10.0,1.7476435480655323,0.7538864760323573,0.04835021584278274
2400,172,10.0,1.741585823528228,0.7555899978291631,0.044692387724689205
2600,171,10.0,1.7536749932302373,0.753953363018187,0.0418962024601118
2800,171,10.0,1.7677065073405487,0.7613961207131079,0.039316239316239315
3000,169,10.0,1.781193611895865,0.7600168829222314,0.037668517049960354
3200,167,10.0,1.7879741130391307,0.7545008697766091,0.0338474356425332
3400,165,10.0,1.7831741330227902,0.7618238135896341,0.03263603668177102
3600,161,10.0,1.769410255493693,0.7606377998919456,0.030567685589519646
3800,159,10.0,1.7635770203355154,0.7654610907397004,0.031021897810218975
4000,156,10.0,1.8034508234376991,0.7656199489016375,0.031060889445087024
4200,151,10.0,1.8002767573435192,0.7592532509552379,0.030603060306030605
4400,151,10.0,1.7887715345812012,0.7642129375287363,0.03274961328546829
4600,151,10.0,1.7845708335937667,0.7653051941313473,0.030241545893719805
4800,148,10.0,1.8011294515863527,0.7668140506252705,0.031146413972500925
5000,148,10.0,1.7843488722235827,0.7658487701009851,0.03293827692197436
5200,149,10.0,1.777511445524123,0.7694964486965054,0.03253796095444685
5400,149,10.0,1.7548281037364404,0.7666915095733384,0.0331743527153341
5600,149,10.0,1.752101761794288,0.7660575618114733,0.03312442877660268
5800,147,10.0,1.7412790690155329,0.7659858220783532,0.033816425120772944
6000,146,9.75,1.7254140217892378,0.7636218275955358,0.032963804845557804
6200,144,9.5,1.6904886823896303,0.76550453267819,0.030601705465642802
6400,142,9.0,1.694398027934053,0.7654443283598777,0.03143085874520454
6600,142,9.0,1.6938527008073954,0.7647106975051692,0.03393576337680869
6800,140,9.0,1.6724843285530497,0.7632596623116172,0.0358459118200243
7000,139,9.0,1.6740520051622063,0.7572308072815053,0.0390625
7200,140,9.0,1.629388215918481,0.7496900793317485,0.03387302396736359
7400,141,9.0,1.6260002119689962,0.7410136559016283,0.03777148253068934
7600,143,9.0,1.57901278375684,0.7407747289513389,0.03844745514463566
7800,143,9.0,1.5723719306486188,0.7292577273702641,0.04085244973095441
8000,142,9.0,1.5580771386974384,0.7192871279279558,0.04694705599207435
8200,140,8.75,1.546922020155673,0.7172176212688935,0.04863922646167737
8400,140,8.5,1.5079161254637694,0.7045703645606145,0.05296368223374996
8600,142,8.5,1.4874732628214073,0.6929360685381689,0.06239632880546713
8800,140,9.0,1.4842491455579225,0.6847965729683905,0.06900681880408
9000,140,8.75,1.4952793868149594,0.6857875469241964,0.07937633754994977
9200,138,9.0,1.4957777155531482,0.6880697135057701,0.09763046487831303
9400,138,9.0,1.5087613952683512,0.6905003942433628,0.10644659759657457
9600,134,9.0,1.512742547066792,0.6979952529572736,0.11592056293423506
9800,127,9.5,1.5141118684514958,0.6993253031867055,0.1226758970931409
10000,125,10.0,1.5187175150248087,0.7049746543285915,0.13316008977460364
10200,121,10.0,1.6178051851465927,0.7141101914052543,0.14426727410782084
10400,114,10.0,1.624731826536796,0.7213334900175405,0.17742781362924703
10600,107,10.5,1.7159500463473343,0.7326530079336606,0.18255215799212904
10800,100,11.0,1.742182321865756,0.743838557279453,0.18414739558136634
11000,93,11.0,1.8182625483870134,0.7495885872802512,0.19771863117870722
11200,86,11.25,1.8440623526924234,0.7633255863867457,0.22451397438857043
11400,78,12.0,1.8600633228071721,0.775688507019655,0.2491493771454479
11600,66,12.0,1.9347591246311469,0.7814221912642947,0.26237378010943757
11800,62,12.0,1.9331998504379837,0.7845762698601177,0.24777831497678904
12000,58,12.0,1.9447588531673583,0.7892440382201528,0.23325586871683018
12200,50,12.5,1.992060835129543,0.8014934019389369,0.244065252956068
12400,43,12.5,1.9997252473915632,0.8039519344957913,0.2627315218941041
12600,42,12.25,2.007783540257847,0.7955188491880018,0.2596424937023506
12800,39,12.5,1.9996785505419594,0.7966459959224335,0.2684693056865563
13000,37,13.0,2.02211906761261,0.8002108045247849,0.2574784817084612
13200,31,13.0,1.9648096761255411,0.7885738729718669,0.31782945736434104
13400,28,12.75,1.9445534998356724,0.781527356537273,0.33088468801202764
13600,24,12.0,1.8875422571177576,0.781527356537273,0.34201746486909834
13800,21,13.0,1.9435106059559488,0.7727991805197642,0.3271028037383178
14000,18,12.5,1.9370630161524853,0.7672226404095449,0.298687277267793
14200,18,12.0,1.8834954011858052,0.7692388241629784,0.2668005928258806
14400,18,12.0,1.891042169539571,0.759314749738867,0.26608202694025535
14600,17,12.0,1.8408042447552133,0.7616979668590372,0.2887256467582242
14800,13,12.0,1.9449986866611904,0.753259437906868,0.2887256467582242
15000,11,12.0,1.9449986866611904,0.7600613836334348,0.2887256467582242
15200,11,12.0,1.885874592283686,0.7600613836334348,0.306619623655914
15400,10,11.5,1.8960912660507643,0.7381097616230797,0.33865289643151164
15600,8,11.0,1.7647373370686084,0.7577337321123001,0.32568279561799995
15800,7,10.0,1.6720939964014645,0.7530582374776886,0.2603621310283874
16000,6,10.5,1.5102591863458885,0.727877257618085,0.21268872628753566
16200,5,10.5,1.563015151415355,0.7540459842365054,0.29649595687331537
16400,5,10.5,1.563015151415355,0.7165638701782527,0.29649595687331537
16600,2,10.5,1.579072783296298,0.6743267970178601,0.6482479784366577
16800,2,11.25,1.594738903344159,0.6725887539237536,0.6482479784366577
17000,2,11.25,1.594738903344159,0.6725887539237536,0.6482479784366577
17200,2,11.25,1.594738903344159,0.7114123043469841,0.6482479784366577
17400,2,11.25,1.594738903344159,0.7114123043469841,0.6482479784366577
17600,1,12.0,1.5377510225475002,0.6713408167609161,1.0
17800,1,12.0,1.575221614316646,0.6601679516228528,1.0
18000,1,12.0,1.575221614316646,0.6601679516228528,1.0
18200,1,12.0,1.612692206085792,0.6489950864847895,1.0
18400,1,12.0,1.612692206085792,0.6489950864847895,1.0
18600,1,12.0,1.612692206085792,0.6489950864847895,1.0
18800,1,12.5,1.8575685977271468,0.7343389662811007,1.0
19000,1,12.0,1.612692206085792,0.6489950864847895,1.0
19200,1,10.5,1.2687258692246863,0.5349356436310002,1.0
19400,1,10.5,1.2687258692246863,0.5349356436310002,1.0
19600,1,9.0,1.2511346476152685,0.601668583866303,1.0
19800,1,8.5,1.0879470899894246,0.5112723923217568,1.0
20000,1,8.0,0.9272140072072116,0.5761104544908483,1.0
20200,1,8.0,0.9272140072072116,0.5761104544908483,1.0
20400,1,8.5,1.08917432741124,0.5888895191785757,1.0
20600,1,8.5,1.08917432741124,0.5888895191785757,1.0
20800,1,8.5,1.08917432741124,0.5888895191785757,1.0
21000,1,8.0,1.2511346476152685,0.601668583866303,1.0
21200,1,8.0,1.2511346476152685,0.601668583866303,1.0
